,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,City,State,Region,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit
179,86,2016-12-15,2016-12-19,Standard Class,82,Home Office,New York City,New York,East,169,Office Supplies,Art,3.28,1.0,0.0,1.4104
180,87,2015-12-05,2015-12-09,Second Class,83,Corporate,Decatur,Illinois,Central,170,Office Supplies,Storage,24.816000000000003,2.0,0.2,1.8612000000000002
181,87,2015-12-05,2015-12-09,Second Class,83,Corporate,Decatur,Illinois,Central,171,Technology,Accessories,408.74399999999997,7.0,0.2,76.63949999999998
183,88,2015-11-19,2015-11-24,Second Class,84,Home Office,Monroe,Louisiana,South,173,Technology,Phones,149.95,5.0,0.0,41.986000000000004
184,88,2015-11-19,2015-11-24,Second Class,84,Home Office,Monroe,Louisiana,South,174,Technology,Accessories,29.0,2.0,0.0,7.25
185,89,2017-11-28,2017-12-02,Standard Class,85,Consumer,Fairfield,Connecticut,East,175,Office Supplies,Binders,7.16,2.0,0.0,3.4368
186,90,2015-08-26,2015-08-30,Standard Class,86,Home Office,Los Angeles,California,West,176,Technology,Accessories,176.8,8.0,0.0,22.98400000000001
187,91,2017-07-16,2017-07-22,Standard Class,87,Corporate,Grand Prairie,Texas,Central,177,Office Supplies,Storage,37.224000000000004,3.0,0.2,3.7224000000000004
188,91,2017-07-16,2017-07-22,Standard Class,87,Corporate,Grand Prairie,Texas,Central,144,Office Supplies,Paper,20.016000000000002,3.0,0.2,6.254999999999996
190,92,2016-10-12,2016-10-14,First Class,88,Home Office,New York City,New York,East,179,Technology,Phones,71.76,6.0,0.0,20.092800000000004
191,92,2016-10-12,2016-10-14,First Class,88,Home Office,New York City,New York,East,180,Office Supplies,Paper,51.84,8.0,0.0,24.883200000000002
193,92,2016-10-12,2016-10-14,First Class,88,Home Office,New York City,New York,East,181,Office Supplies,Art,19.9,5.0,0.0,6.566999999999998
194,93,2016-10-31,2016-11-06,Standard Class,89,Corporate,Redlands,California,West,29,Office Supplies,Envelopes,14.280000000000001,7.0,0.0,6.711599999999999
195,94,2015-03-21,2015-03-25,Standard Class,90,Consumer,Hamilton,Ohio,East,182,Office Supplies,Art,7.408,2.0,0.2,1.2037999999999995
196,94,2015-03-21,2015-03-25,Standard Class,90,Consumer,Hamilton,Ohio,East,183,Office Supplies,Art,6.048,3.0,0.2,1.5876000000000006
197,95,2018-11-06,2018-11-13,Standard Class,91,Home Office,Westfield,New Jersey,East,184,Office Supplies,Storage,46.26,3.0,0.0,12.0276
198,96,2018-07-06,2018-07-13,Standard Class,92,Corporate,Philadelphia,Pennsylvania,East,185,Office Supplies,Binders,2.9460000000000006,2.0,0.7,-2.2585999999999995
199,96,2018-07-06,2018-07-13,Standard Class,92,Corporate,Philadelphia,Pennsylvania,East,186,Office Supplies,Paper,16.056,3.0,0.2,5.8203000000000005
200,97,2018-06-24,2018-06-29,Standard Class,93,Consumer,Akron,Ohio,East,187,Office Supplies,Paper,21.744000000000003,3.0,0.2,6.794999999999999
202,98,2015-08-03,2015-08-05,First Class,94,Consumer,Denver,Colorado,West,189,Office Supplies,Appliances,2.6,1.0,0.2,0.29249999999999987
204,100,2018-06-03,2018-06-07,Standard Class,96,Corporate,Franklin,Tennessee,South,191,Furniture,Furnishings,35.168000000000006,7.0,0.2,9.671200000000002
205,101,2018-12-09,2018-12-14,Standard Class,97,Consumer,Whittier,California,West,192,Technology,Phones,444.76800000000003,4.0,0.2,44.476800000000026
206,102,2018-12-01,2018-12-07,Standard Class,98,Consumer,Saginaw,Michigan,Central,193,Office Supplies,Storage,83.92,4.0,0.0,5.874399999999994
207,102,2018-12-01,2018-12-07,Standard Class,98,Consumer,Saginaw,Michigan,Central,194,Technology,Phones,131.98,2.0,0.0,35.634600000000006
208,102,2018-12-01,2018-12-07,Standard Class,98,Consumer,Saginaw,Michigan,Central,122,Office Supplies,Binders,15.92,4.0,0.0,7.4824
209,102,2018-12-01,2018-12-07,Standard Class,98,Consumer,Saginaw,Michigan,Central,195,Office Supplies,Fasteners,52.29,9.0,0.0,16.209899999999998
210,102,2018-12-01,2018-12-07,Standard Class,98,Consumer,Saginaw,Michigan,Central,196,Office Supplies,Storage,91.99,1.0,0.0,3.6795999999999935
211,103,2016-02-09,2016-02-13,Second Class,99,Corporate,Dallas,Texas,Central,197,Technology,Accessories,20.8,2.0,0.2,6.499999999999999
212,104,2016-01-02,2016-01-09,Standard Class,100,Corporate,Medina,Ohio,East,198,Office Supplies,Labels,23.680000000000003,2.0,0.2,8.879999999999999
214,104,2016-01-02,2016-01-09,Standard Class,100,Corporate,Medina,Ohio,East,104,Technology,Phones,62.982,3.0,0.4,-14.695800000000006
216,104,2016-01-02,2016-01-09,Standard Class,100,Corporate,Medina,Ohio,East,201,Technology,Accessories,89.584,2.0,0.2,4.479200000000006
217,105,2017-10-28,2017-11-01,Standard Class,101,Consumer,Los Angeles,California,West,177,Office Supplies,Storage,93.06,6.0,0.0,26.056800000000003
218,105,2017-10-28,2017-11-01,Standard Class,101,Consumer,Los Angeles,California,West,202,Technology,Phones,302.376,3.0,0.2,22.678200000000018
219,106,2016-12-24,2016-12-27,First Class,102,Consumer,Dublin,Ohio,East,203,Office Supplies,Fasteners,5.5840000000000005,2.0,0.2,1.8147999999999997
220,106,2016-12-24,2016-12-27,First Class,102,Consumer,Dublin,Ohio,East,204,Office Supplies,Paper,22.704000000000004,6.0,0.2,8.2302
221,106,2016-12-24,2016-12-27,First Class,102,Consumer,Dublin,Ohio,East,91,Office Supplies,Binders,19.776000000000003,4.0,0.7,-13.843199999999996
222,106,2016-12-24,2016-12-27,First Class,102,Consumer,Dublin,Ohio,East,205,Furniture,Furnishings,72.704,4.0,0.2,19.084800000000005
224,106,2016-12-24,2016-12-27,First Class,102,Consumer,Dublin,Ohio,East,207,Office Supplies,Art,27.168000000000003,2.0,0.2,2.7168
225,107,2016-08-09,2016-08-16,Standard Class,103,Corporate,Detroit,Michigan,Central,208,Office Supplies,Art,2.2,1.0,0.0,0.9680000000000002
227,107,2016-08-09,2016-08-16,Standard Class,103,Corporate,Detroit,Michigan,Central,210,Office Supplies,Storage,21.98,1.0,0.0,0.21979999999999933
